NOME	GRUPO	PDV	DISPONIVEL
Café Shake com Doce de Leite	Milk Shake 300ml	24.00	S
Café Shake com NUTELLA®	Milk Shake 300ml	28.00	S
Café Shake Tradicional	Milk Shake 300ml	21.00	S
Açaí Monte o Seu 300 ml	Açai	23.00	S
Açaí Monte o Seu 400 ml	Açai	26.00	S
Açaí Monte o Seu 500 ml	Açai	29.00	S
Affogato c/ Sorvete Baunilha	Cafeteria	19.00	S
Affogato c/ Sorvete Chocolate	Cafeteria	19.00	S
Affogato c/ Sorvete Misto	Cafeteria	19.00	S
Água 500 ml C /Gás	Agua Mineral	6.00	S
Água 500 ml S/ Gás	Agua Mineral	4.00	S
Água Copo 200 ml	Agua Mineral	0.00	N
Água Copo 300 ml	Agua Mineral	0.00	N
Água Crystal Capim Limão 510ml	Refrigerante	0.00	N
Água Crystal Frutas Vermelhas 510ml	Refrigerante	0.00	N
Água Crystal Limão 510ml	Refrigerante	0.00	N
Água Kaiary 498 ml	Agua Mineral	0.00	N
Água Kaiary c/ Gás 350ml	Agua Mineral	0.00	N
Água Mineral 350 ml	Agua Mineral	0.00	N
Água Mineral 350 ml com Gás	Agua Mineral	0.00	N
Água Mineral c/ Gás São Lourenço 500ml	Agua Mineral	0.00	N
Água Tônica 350 ml	Agua Mineral	0.00	N
Big Sundae Baunilha Cobertura Caramelo	Big Sundae	15.50	S
Big Sundae Baunilha Cobertura Chocolate	Big Sundae	15.50	S
Big Sundae Baunilha Cobertura Morango	Big Sundae	15.50	S
Big Sundae Chocolate Cobertura Caramelo	Big Sundae	15.50	S
Big Sundae Chocolate Cobertura Chocolate	Big Sundae	15.50	S
Big Sundae Chocolate Cobertura Morango	Big Sundae	15.50	S
Big Sundae Chocotino Turbo - Baunilha	Big Sundae	25.00	S
Big Sundae Chocotino Turbo - Chocolate	Big Sundae	25.00	S
Big Sundae Chocotino Turbo - Misto	Big Sundae	25.00	S
Big Sundae Misto Cobertura Caramelo	Big Sundae	15.50	S
Big Sundae Misto Cobertura Chocolate	Big Sundae	15.50	S
Big Sundae Misto Cobertura Morango	Big Sundae	15.50	S
Bubble Waffle no Cone G - c/ Chantilly	Bubble Waffle	0.00	N
Bubble Waffle no Cone G - c/ Sorvete Baunilha	Bubble Waffle	0.00	N
Bubble Waffle no Cone G - c/ Sorvete Chocolate	Bubble Waffle	0.00	N
Bubble Waffle no Cone G - c/ Sorvete Misto	Bubble Waffle	0.00	N
Bubble Waffle no Cone P - c/ Chantilly	Bubble Waffle	0.00	N
Bubble Waffle no Cone P - c/ Sorvete Baunilha	Bubble Waffle	0.00	N
Bubble Waffle no Cone P - c/ Sorvete Chocolate	Bubble Waffle	0.00	N
Bubble Waffle no Cone P - c/ Sorvete Misto	Bubble Waffle	0.00	N
Café Espresso	Cafeteria	9.00	S
Café Espresso Com Chantilly	Cafeteria	12.00	S
Café Shake Pé de Moleque	Milk Shake 300ml	24.00	S
Café Shake Trufado	Milk Shake 300ml	26.00	S
Canecake 2026 - Baunilha - Inverno	Inverno	35.00	S
Canecake 2026 - Baunilha - Inverno - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Baunilha - Inverno - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Baunilha - Inverno - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Baunilha - Inverno - S'mores	Inverno	45.00	S
Canecake 2026 - Baunilha - Inverno - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Baunilha - Outono	Inverno	35.00	S
Canecake 2026 - Baunilha - Outono - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Baunilha - Outono - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Baunilha - Outono - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Baunilha - Outono - S'mores	Inverno	45.00	S
Canecake 2026 - Baunilha - Outono - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Baunilha - Primavera	Inverno	35.00	S
Canecake 2026 - Baunilha - Primavera - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Baunilha - Primavera - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Baunilha - Primavera - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Baunilha - Primavera - S'mores	Inverno	45.00	S
Canecake 2026 - Baunilha - Primavera - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Baunilha - Verão	Inverno	35.00	S
Canecake 2026 - Baunilha - Verão - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Baunilha - Verão - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Baunilha - Verão - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Baunilha - Verão - S'mores	Inverno	45.00	S
Canecake 2026 - Baunilha - Verão - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Chantilly - Inverno	Inverno	35.00	S
Canecake 2026 - Chantilly - Outono	Inverno	35.00	S
Canecake 2026 - Chantilly - Primavera	Inverno	35.00	S
Canecake 2026 - Chantilly - Verão	Inverno	35.00	S
Canecake 2026 - Chocolate - Inverno	Inverno	35.00	S
Canecake 2026 - Chocolate - Inverno - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Chocolate - Inverno - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Chocolate - Inverno - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Chocolate - Inverno - S'mores	Inverno	45.00	S
Canecake 2026 - Chocolate - Inverno - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Chocolate - Outono	Inverno	35.00	S
Canecake 2026 - Chocolate - Outono - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Chocolate - Outono - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Chocolate - Outono - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Chocolate - Outono - S'mores	Inverno	45.00	S
Canecake 2026 - Chocolate - Outono - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Chocolate - Primavera	Inverno	35.00	S
Canecake 2026 - Chocolate - Primavera - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Chocolate - Primavera - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Chocolate - Primavera - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Chocolate - Primavera - S'mores	Inverno	45.00	S
Canecake 2026 - Chocolate - Primavera - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Chocolate - Verão	Inverno	35.00	S
Canecake 2026 - Chocolate - Verão - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Chocolate - Verão - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Chocolate - Verão - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Chocolate - Verão - S'mores	Inverno	45.00	S
Canecake 2026 - Chocolate - Verão - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Misto - Inverno	Inverno	35.00	S
Canecake 2026 - Misto - Inverno - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Misto - Inverno - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Misto - Inverno - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Misto - Inverno - S'mores	Inverno	45.00	S
Canecake 2026 - Misto - Inverno - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Misto - Outono	Inverno	35.00	S
Canecake 2026 - Misto - Outono - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Misto - Outono - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Misto - Outono - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Misto - Outono - S'mores	Inverno	45.00	S
Canecake 2026 - Misto - Outono - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Misto - Primavera	Inverno	35.00	S
Canecake 2026 - Misto - Primavera - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Misto - Primavera - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Misto - Primavera - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Misto - Primavera - S'mores	Inverno	45.00	S
Canecake 2026 - Misto - Primavera - Torta de Morango	Inverno	45.00	S
Canecake 2026 - Misto - Verão	Inverno	35.00	S
Canecake 2026 - Misto - Verão - Floresta Negra	Inverno	45.00	S
Canecake 2026 - Misto - Verão - Merengue Limão	Inverno	45.00	S
Canecake 2026 - Misto - Verão - Merengue Morango	Inverno	45.00	S
Canecake 2026 - Misto - Verão - S'mores	Inverno	45.00	S
Canecake 2026 - Misto - Verão - Torta de Morango	Inverno	45.00	S
Cappuccino feito com Suflair® Frio	Cafeteria	19.00	S
Cappuccino feito com Suflair® Quente	Cafeteria	19.00	S
Cappuccino Tradicional - Frio	Inverno	19.00	S
Cappuccino Tradicional - Quente	Inverno	19.00	S
Cascão Baunilha Coberto com Calda Quente	Cascao	15.00	S
Cascão Chocolate Coberto com Calda Quente	Cascao	15.00	S
Cascão Kitkat® - Baunilha	Cascao	22.00	S
Cascão Kitkat® - Chocolate	Cascao	22.00	S
Cascão Kitkat® - Misto	Cascao	22.00	S
Cascão Misto Coberto com Calda Quente	Cascao	15.00	S
Cascão Recheado Baunilha Cobertura Caramelo	Cascao	13.00	S
Cascão Recheado Baunilha Cobertura Chocolate	Cascao	13.00	S
Cascão Recheado Baunilha Cobertura Morango	Cascao	13.00	S
Cascão Recheado Chocolate Cobertura Caramelo	Cascao	13.00	S
Cascão Recheado Chocolate Cobertura Chocolate	Cascao	13.00	S
Cascão Recheado Chocolate Cobertura Morango	Cascao	13.00	S
Cascão Recheado Misto Cobertura Caramelo	Cascao	13.00	S
Cascão Recheado Misto Cobertura Chocolate	Cascao	13.00	S
Cascão Recheado Misto Cobertura Morango	Cascao	13.00	S
Cascão Tradicional Baunilha Cobertura Caramelo	Cascao	9.00	S
